entry_time,exit_time,entry_price,exit_price,pnl,symbol,side,quantity
2024-01-15 09:35:00,2024-01-15 10:12:00,5250.25,5263.50,662.50,ES,long,1
2024-01-15 10:45:00,2024-01-15 11:30:00,5265.00,5258.75,-312.50,ES,long,1
2024-01-15 13:15:00,2024-01-15 14:20:00,5262.50,5275.00,625.00,ES,long,1
2024-01-16 09:40:00,2024-01-16 10:05:00,5280.00,5273.25,-337.50,ES,long,1
2024-01-16 10:30:00,2024-01-16 11:45:00,5270.50,5285.75,762.50,ES,long,1
2024-01-16 13:00:00,2024-01-16 14:00:00,5288.00,5295.50,375.00,ES,long,1
2024-01-17 09:35:00,2024-01-17 10:15:00,5300.25,5292.00,-412.50,ES,long,1
2024-01-17 10:45:00,2024-01-17 11:30:00,5290.50,5305.25,737.50,ES,long,1
2024-01-17 13:30:00,2024-01-17 14:45:00,5308.00,5298.50,-475.00,ES,long,1
2024-01-18 09:40:00,2024-01-18 10:20:00,5295.75,5310.00,712.50,ES,long,1
2024-01-18 10:50:00,2024-01-18 11:35:00,5312.25,5320.50,412.50,ES,long,1
2024-01-18 13:15:00,2024-01-18 14:10:00,5318.00,5308.75,-462.50,ES,long,1
2024-01-19 09:35:00,2024-01-19 10:25:00,5305.50,5318.75,662.50,ES,long,1
2024-01-19 10:55:00,2024-01-19 11:40:00,5320.00,5312.25,-387.50,ES,long,1
2024-01-22 09:45:00,2024-01-22 10:30:00,5315.75,5328.00,612.50,ES,long,1
2024-01-22 11:00:00,2024-01-22 12:15:00,5330.25,5342.50,612.50,ES,long,1
2024-01-22 13:30:00,2024-01-22 14:20:00,5340.00,5332.75,-362.50,ES,long,1
2024-01-23 09:35:00,2024-01-23 10:10:00,5328.50,5340.25,587.50,ES,long,1
2024-01-23 10:40:00,2024-01-23 11:25:00,5342.00,5355.75,687.50,ES,long,1
2024-01-23 13:00:00,2024-01-23 14:15:00,5358.25,5348.50,-487.50,ES,long,1
